序号,转换后JH,JX,Dogleg Severity,status,origin_status_predict,status_predict
809,B16-X22,0.0,0.101,0,0,0
810,B16-X22,0.1,0.135,0,0,0
811,B16-X22,0.22,0.0899,0,0,0
812,B16-X22,0.3,0.082,0,0,0
813,B16-X22,0.36,0.101,0,0,0
814,B16-X22,0.44,0.191,0,0,0
815,B16-X22,0.57,0.144,0,0,0
816,B16-X22,0.66,1.16,0,0,0
817,B16-X22,1.63,0.126,0,0,0
818,B16-X22,1.75,0.115,0,0,0
819,B16-X22,1.86,0.125,0,0,0
820,B16-X22,1.98,0.175,0,0,0
821,B16-X22,1.83,0.21,0,0,0
822,B16-X22,1.65,0.229,0,0,0
823,B16-X22,1.54,0.139,0,0,0
824,B16-X22,1.42,0.0855,0,0,0
825,B16-X22,1.36,1.91,0,0,0
826,B16-X22,1.97,4.49,1,1,1
827,B16-X22,3.12,4.68,1,1,1
828,B16-X22,4.44,4.84,1,1,1
829,B16-X22,5.98,4.97,1,1,1
830,B16-X22,7.58,4.52,1,1,1
831,B16-X22,9.01,3.69,1,1,1
832,B16-X22,10.03,3.85,1,1,1
833,B16-X22,11.05,4.34,1,1,1
834,B16-X22,12.28,5.3,1,1,1
835,B16-X22,13.9,4.8,1,1,1
836,B16-X22,15.32,5.71,1,1,1
837,B16-X22,17.03,5.51,1,1,1
838,B16-X22,18.79,4.99,1,1,1
839,B16-X22,20.36,5.27,1,1,1
840,B16-X22,22.01,4.43,1,1,1
841,B16-X22,22.98,4.11,1,1,1
842,B16-X22,24.05,4.06,1,1,1
843,B16-X22,25.14,5.09,1,1,1
844,B16-X22,26.73,4.88,1,1,1
845,B16-X22,28.26,4.39,1,1,1
846,B16-X22,29.66,5.62,1,1,1
847,B16-X22,31.09,4.61,1,1,1
848,B16-X22,32.56,5.72,1,1,1
849,B16-X22,34.18,5.33,1,1,1
850,B16-X22,35.86,4.95,1,1,1
851,B16-X22,37.42,5.95,1,1,1
852,B16-X22,39.2,0.596,1,1,1
853,B16-X22,39.46,1.47,2,2,2
854,B16-X22,38.41,2.37,2,2,2
855,B16-X22,38.76,0.406,2,2,2
856,B16-X22,39.07,0.624,2,2,2
857,B16-X22,38.5,0.59,2,2,2
858,B16-X22,38.14,0.477,2,2,2
859,B16-X22,38.28,0.14,2,2,2
860,B16-X22,38.23,2.68,2,2,2
861,B16-X22,38.45,0.416,2,2,2
862,B16-X22,38.8,0.406,2,2,2
863,B16-X22,38.57,0.391,2,2,2
864,B16-X22,38.36,0.0647,2,2,2
865,B16-X22,38.36,0.38,2,2,2
866,B16-X22,38.67,0.254,2,2,2
867,B16-X22,38.46,0.199,2,2,2
868,B16-X22,38.28,0.271,2,2,2
869,B16-X22,38.36,0.265,2,2,2
870,B16-X22,38.41,0.46,2,2,2
871,B16-X22,38.72,0.416,2,2,2
872,B16-X22,39.07,0.139,2,2,2
873,B16-X22,39.11,0.0842,2,2,2
874,B16-X22,39.16,0.234,2,2,2
875,B16-X22,39.28,0.274,2,2,2
876,B16-X22,39.46,0.48,2,2,2
877,B16-X22,39.34,0.361,2,2,2
878,B16-X22,39.2,0.256,2,2,2
879,B16-X22,39.41,0.223,2,2,2
880,B16-X22,39.59,0.136,2,2,2
881,B16-X22,39.56,0.0674,2,2,2
882,B16-X22,39.55,0.332,2,2,2
883,B16-X22,39.57,0.2,2,2,2
884,B16-X22,39.55,0.283,2,2,2
885,B16-X22,39.64,0.419,2,2,2
886,B16-X22,39.95,0.312,2,2,2
887,B16-X22,40.25,0.477,2,2,2
888,B16-X22,40.69,0.816,2,2,2
889,B16-X22,41.47,0.433,2,2,2
890,B16-X22,41.88,1.73,2,2,2
891,B16-X22,40.47,0.199,2,2,2
892,B16-X22,40.65,0.2,2,2,2
893,B16-X22,40.83,0.304,2,2,2
894,B16-X22,41.09,0.6,2,2,2
895,B16-X22,41.65,0.488,2,2,2
896,B16-X22,42.1,1.29,2,2,2
897,B16-X22,42.82,1.31,2,2,2
898,B16-X22,43.55,1.38,2,2,2
899,B16-X22,42.32,0.231,2,2,2
900,B16-X22,42.23,0.109,2,2,2
901,B16-X22,42.15,0.117,2,2,2
902,B16-X22,42.06,0.799,2,2,2
903,B16-X22,42.8,0.813,2,2,2
904,B16-X22,42.1,0.445,2,2,2
905,B16-X22,41.96,0.541,2,2,2
906,B16-X22,41.63,0.482,2,2,2
907,B16-X22,41.31,0.351,2,2,2
908,B16-X22,41.04,0.576,2,2,2
909,B16-X22,40.87,0.758,2,2,2
910,B16-X22,41.57,2.02,2,2,2
911,B16-X22,42.28,0.169,2,2,2
912,B16-X22,42.19,1.43,2,2,2
913,B16-X22,40.83,3.2,2,2,2
914,B16-X22,37.84,0.775,3,3,3
915,B16-X22,37.75,0.215,3,3,3
916,B16-X22,37.66,2.71,3,3,3
917,B16-X22,35.07,0.152,3,3,3
918,B16-X22,35.16,0.158,3,3,3
919,B16-X22,35.02,0.153,3,3,3
920,B16-X22,35.11,3.51,3,3,3
921,B16-X22,31.82,0.496,3,3,3
922,B16-X22,31.46,0.521,3,3,3
923,B16-X22,31.07,0.449,3,3,3
924,B16-X22,30.67,0.486,3,3,3
925,B16-X22,30.28,0.645,3,3,3
926,B16-X22,30.15,3.63,3,3,3
927,B16-X22,26.81,0.633,3,3,3
928,B16-X22,26.24,1.25,3,3,3
929,B16-X22,25.05,1.08,3,3,3
930,B16-X22,24.04,1.88,3,3,3
931,B16-X22,25.84,1.24,3,3,3
932,B16-X22,24.65,0.992,3,3,3
933,B16-X22,23.86,1.08,3,3,3
934,B16-X22,22.85,1.51,3,3,3
935,B16-X22,23.86,0.55,3,3,3
936,B16-X22,23.86,3.1,3,3,3
937,B16-X22,26.63,0.657,3,3,3
938,B16-X22,26.24,0.753,3,3,3
939,B16-X22,26.1,0.0972,3,3,3
940,B16-X22,26.07,0.0922,3,3,3
941,B16-X22,26.06,0.207,3,3,3
942,B16-X22,25.97,0.205,3,3,3
943,B16-X22,25.88,0.595,3,3,3
